module	package	prod_classname	prod_status	test_classname	test_status	test_java_path	prod_java_path
core	org.apache.lucene.index	ConcurrentApproximatePriorityQueue	MISSING	TestConcurrentApproximatePriorityQueue	MISSING	core/src/test/org/apache/lucene/index/TestConcurrentApproximatePriorityQueue.java	core/src/java/org/apache/lucene/index/ConcurrentApproximatePriorityQueue.java
core	org.apache.lucene.index	TwoPhaseCommit	IMPLEMENTED				core/src/java/org/apache/lucene/index/TwoPhaseCommit.java
core	org.apache.lucene.index	DocumentsWriterFlushControl	MISSING				core/src/java/org/apache/lucene/index/DocumentsWriterFlushControl.java
core	org.apache.lucene.index	BinaryDocValuesFieldUpdates	MISSING				core/src/java/org/apache/lucene/index/BinaryDocValuesFieldUpdates.java
core	org.apache.lucene.index	CodecReader	IMPLEMENTED				core/src/java/org/apache/lucene/index/CodecReader.java
core	org.apache.lucene.index	DocValuesFieldUpdates	MISSING	TestDocValuesFieldUpdates	MISSING	core/src/test/org/apache/lucene/index/TestDocValuesFieldUpdates.java	core/src/java/org/apache/lucene/index/DocValuesFieldUpdates.java
core	org.apache.lucene.index	DocValuesUpdate	IMPLEMENTED				core/src/java/org/apache/lucene/index/DocValuesUpdate.java
core	org.apache.lucene.index	FilterMergePolicy	IMPLEMENTED	TestFilterMergePolicy	MISSING	core/src/test/org/apache/lucene/index/TestFilterMergePolicy.java	core/src/java/org/apache/lucene/index/FilterMergePolicy.java
core	org.apache.lucene.index	SortingStoredFieldsConsumer	MISSING				core/src/java/org/apache/lucene/index/SortingStoredFieldsConsumer.java
core	org.apache.lucene.index	ImpactsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/ImpactsEnum.java
core	org.apache.lucene.index	BinaryDocValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/BinaryDocValues.java
core	org.apache.lucene.index	IndexWriterConfig	IMPLEMENTED	TestIndexWriterConfig	MISSING	core/src/test/org/apache/lucene/index/TestIndexWriterConfig.java	core/src/java/org/apache/lucene/index/IndexWriterConfig.java
core	org.apache.lucene.index	ByteVectorValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/ByteVectorValues.java
core	org.apache.lucene.index	SlowCodecReaderWrapper	IMPLEMENTED				core/src/java/org/apache/lucene/index/SlowCodecReaderWrapper.java
core	org.apache.lucene.index	BaseTermsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/BaseTermsEnum.java
core	org.apache.lucene.index	DocIDMerger	IMPLEMENTED	TestDocIDMerger	MISSING	core/src/test/org/apache/lucene/index/TestDocIDMerger.java	core/src/java/org/apache/lucene/index/DocIDMerger.java
core	org.apache.lucene.index	FilterCodecReader	IMPLEMENTED	TestFilterCodecReader	MISSING	core/src/test/org/apache/lucene/index/TestFilterCodecReader.java	core/src/java/org/apache/lucene/index/FilterCodecReader.java
core	org.apache.lucene.index	SortedDocValuesTermsEnum	MISSING				core/src/java/org/apache/lucene/index/SortedDocValuesTermsEnum.java
core	org.apache.lucene.index	MultiSorter	MISSING				core/src/java/org/apache/lucene/index/MultiSorter.java
core	org.apache.lucene.index	TermState	IMPLEMENTED	TestTermStates	MISSING	core/src/test/org/apache/lucene/index/TestTermStates.java	core/src/java/org/apache/lucene/index/TermState.java
core	org.apache.lucene.index	StandardDirectoryReader	IMPLEMENTED				core/src/java/org/apache/lucene/index/StandardDirectoryReader.java
core	org.apache.lucene.index	NoDeletionPolicy	IMPLEMENTED	TestNoDeletionPolicy	MISSING	core/src/test/org/apache/lucene/index/TestNoDeletionPolicy.java	core/src/java/org/apache/lucene/index/NoDeletionPolicy.java
core	org.apache.lucene.index	SerialMergeScheduler	IMPLEMENTED				core/src/java/org/apache/lucene/index/SerialMergeScheduler.java
core	org.apache.lucene.index	LiveIndexWriterConfig	IMPLEMENTED				core/src/java/org/apache/lucene/index/LiveIndexWriterConfig.java
core	org.apache.lucene.index	VectorEncoding	IMPLEMENTED				core/src/java/org/apache/lucene/index/VectorEncoding.java
core	org.apache.lucene.index	CorruptIndexException	IMPLEMENTED				core/src/java/org/apache/lucene/index/CorruptIndexException.java
core	org.apache.lucene.index	NormValuesWriter	MISSING				core/src/java/org/apache/lucene/index/NormValuesWriter.java
core	org.apache.lucene.index	StoredFields	IMPLEMENTED				core/src/java/org/apache/lucene/index/StoredFields.java
core	org.apache.lucene.index	IndexUpgrader	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexUpgrader.java
core	org.apache.lucene.index	LogDocMergePolicy	IMPLEMENTED				core/src/java/org/apache/lucene/index/LogDocMergePolicy.java
core	org.apache.lucene.index	TrackingTmpOutputDirectoryWrapper	MISSING				core/src/java/org/apache/lucene/index/TrackingTmpOutputDirectoryWrapper.java
core	org.apache.lucene.index	FreqAndNormBuffer	IMPLEMENTED				core/src/java/org/apache/lucene/index/FreqAndNormBuffer.java
core	org.apache.lucene.index	FilterSortedDocValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/FilterSortedDocValues.java
core	org.apache.lucene.index	ReaderUtil	IMPLEMENTED				core/src/java/org/apache/lucene/index/ReaderUtil.java
core	org.apache.lucene.index	DocumentsWriterStallControl	MISSING	TestDocumentsWriterStallControl	MISSING	core/src/test/org/apache/lucene/index/TestDocumentsWriterStallControl.java	core/src/java/org/apache/lucene/index/DocumentsWriterStallControl.java
core	org.apache.lucene.index	CachingMergeContext	MISSING	TestCachingMergeContext	MISSING	core/src/test/org/apache/lucene/index/TestCachingMergeContext.java	core/src/java/org/apache/lucene/index/CachingMergeContext.java
core	org.apache.lucene.index	LockableConcurrentApproximatePriorityQueue	MISSING	TestLockableConcurrentApproximatePriorityQueue	MISSING	core/src/test/org/apache/lucene/index/TestLockableConcurrentApproximatePriorityQueue.java	core/src/java/org/apache/lucene/index/LockableConcurrentApproximatePriorityQueue.java
core	org.apache.lucene.index	DocumentsWriterFlushQueue	MISSING				core/src/java/org/apache/lucene/index/DocumentsWriterFlushQueue.java
core	org.apache.lucene.index	SnapshotDeletionPolicy	IMPLEMENTED	TestSnapshotDeletionPolicy	MISSING	core/src/test/org/apache/lucene/index/TestSnapshotDeletionPolicy.java	core/src/java/org/apache/lucene/index/SnapshotDeletionPolicy.java
core	org.apache.lucene.index	Term	IMPLEMENTED	TestTerm	MISSING	core/src/test/org/apache/lucene/index/TestTerm.java	core/src/java/org/apache/lucene/index/Term.java
core	org.apache.lucene.index	MappingMultiPostingsEnum	MISSING				core/src/java/org/apache/lucene/index/MappingMultiPostingsEnum.java
core	org.apache.lucene.index	MultiLeafReader	IMPLEMENTED				core/src/java/org/apache/lucene/index/MultiLeafReader.java
core	org.apache.lucene.index	FieldInfos	IMPLEMENTED	TestFieldInfos	MISSING	core/src/test/org/apache/lucene/index/TestFieldInfos.java	core/src/java/org/apache/lucene/index/FieldInfos.java
core	org.apache.lucene.index	ByteSliceReader	MISSING	TestByteSliceReader	MISSING	core/src/test/org/apache/lucene/index/TestByteSliceReader.java	core/src/java/org/apache/lucene/index/ByteSliceReader.java
core	org.apache.lucene.index	QueryTimeout	IMPLEMENTED				core/src/java/org/apache/lucene/index/QueryTimeout.java
core	org.apache.lucene.index	SimpleMergedSegmentWarmer	IMPLEMENTED				core/src/java/org/apache/lucene/index/SimpleMergedSegmentWarmer.java
core	org.apache.lucene.index	MergeScheduler	IMPLEMENTED				core/src/java/org/apache/lucene/index/MergeScheduler.java
core	org.apache.lucene.index	SortedDocValuesWriter	MISSING				core/src/java/org/apache/lucene/index/SortedDocValuesWriter.java
core	org.apache.lucene.index	IndexNotFoundException	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexNotFoundException.java
core	org.apache.lucene.index	SoftDeletesRetentionMergePolicy	IMPLEMENTED	TestSoftDeletesRetentionMergePolicy	MISSING	core/src/test/org/apache/lucene/index/TestSoftDeletesRetentionMergePolicy.java	core/src/java/org/apache/lucene/index/SoftDeletesRetentionMergePolicy.java
core	org.apache.lucene.index	LeafReader	IMPLEMENTED				core/src/java/org/apache/lucene/index/LeafReader.java
core	org.apache.lucene.index	SegmentReader	IMPLEMENTED	TestSegmentReader	MISSING	core/src/test/org/apache/lucene/index/TestSegmentReader.java	core/src/java/org/apache/lucene/index/SegmentReader.java
core	org.apache.lucene.index	ParallelLeafReader	IMPLEMENTED	TestParallelLeafReader	MISSING	core/src/test/org/apache/lucene/index/TestParallelLeafReader.java	core/src/java/org/apache/lucene/index/ParallelLeafReader.java
core	org.apache.lucene.index	DocValues	IMPLEMENTED	TestDocValues	MISSING	core/src/test/org/apache/lucene/index/TestDocValues.java	core/src/java/org/apache/lucene/index/DocValues.java
core	org.apache.lucene.index	MappedMultiFields	IMPLEMENTED				core/src/java/org/apache/lucene/index/MappedMultiFields.java
core	org.apache.lucene.index	ByteSlicePool	MISSING	TestByteSlicePool	MISSING	core/src/test/org/apache/lucene/index/TestByteSlicePool.java	core/src/java/org/apache/lucene/index/ByteSlicePool.java
core	org.apache.lucene.index	FrozenBufferedUpdates	MISSING	TestFrozenBufferedUpdates	MISSING	core/src/test/org/apache/lucene/index/TestFrozenBufferedUpdates.java	core/src/java/org/apache/lucene/index/FrozenBufferedUpdates.java
core	org.apache.lucene.index	ReaderSlice	IMPLEMENTED				core/src/java/org/apache/lucene/index/ReaderSlice.java
core	org.apache.lucene.index	SegmentDocValuesProducer	MISSING				core/src/java/org/apache/lucene/index/SegmentDocValuesProducer.java
core	org.apache.lucene.index	FlushByRamOrCountsPolicy	MISSING	TestFlushByRamOrCountsPolicy	MISSING	core/src/test/org/apache/lucene/index/TestFlushByRamOrCountsPolicy.java	core/src/java/org/apache/lucene/index/FlushByRamOrCountsPolicy.java
core	org.apache.lucene.index	StoredFieldVisitor	IMPLEMENTED				core/src/java/org/apache/lucene/index/StoredFieldVisitor.java
core	org.apache.lucene.index	LogMergePolicy	IMPLEMENTED	TestLogMergePolicy	MISSING	core/src/test/org/apache/lucene/index/TestLogMergePolicy.java	core/src/java/org/apache/lucene/index/LogMergePolicy.java
core	org.apache.lucene.index	IndexableFieldType	IMPLEMENTED				core/src/java/org/apache/lucene/index/IndexableFieldType.java
core	org.apache.lucene.index	BufferedUpdatesStream	MISSING				core/src/java/org/apache/lucene/index/BufferedUpdatesStream.java
core	org.apache.lucene.index	DocValuesWriter	IMPLEMENTED				core/src/java/org/apache/lucene/index/DocValuesWriter.java
core	org.apache.lucene.index	SegmentReadState	IMPLEMENTED				core/src/java/org/apache/lucene/index/SegmentReadState.java
core	org.apache.lucene.index	IndexWriter	IMPLEMENTED	TestIndexWriter	MISSING	core/src/test/org/apache/lucene/index/TestIndexWriter.java	core/src/java/org/apache/lucene/index/IndexWriter.java
core	org.apache.lucene.index	IndexOptions	IMPLEMENTED	TestIndexOptions	MISSING	core/src/test/org/apache/lucene/index/TestIndexOptions.java	core/src/java/org/apache/lucene/index/IndexOptions.java
core	org.apache.lucene.index	TermVectors	IMPLEMENTED	TestTermVectors	MISSING	core/src/test/org/apache/lucene/index/TestTermVectors.java	core/src/java/org/apache/lucene/index/TermVectors.java
core	org.apache.lucene.index	SlowCompositeCodecReaderWrapper	MISSING				core/src/java/org/apache/lucene/index/SlowCompositeCodecReaderWrapper.java
core	org.apache.lucene.index	IndexableField	IMPLEMENTED	TestIndexableField	MISSING	core/src/test/org/apache/lucene/index/TestIndexableField.java	core/src/java/org/apache/lucene/index/IndexableField.java
core	org.apache.lucene.index	Terms	IMPLEMENTED	TestTerms	MISSING	core/src/test/org/apache/lucene/index/TestTerms.java	core/src/java/org/apache/lucene/index/Terms.java
core	org.apache.lucene.index	TermsHashPerField	MISSING	TestTermsHashPerField	MISSING	core/src/test/org/apache/lucene/index/TestTermsHashPerField.java	core/src/java/org/apache/lucene/index/TermsHashPerField.java
core	org.apache.lucene.index	FilterSortedNumericDocValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/FilterSortedNumericDocValues.java
core	org.apache.lucene.index	TwoPhaseCommitTool	IMPLEMENTED	TestTwoPhaseCommitTool	MISSING	core/src/test/org/apache/lucene/index/TestTwoPhaseCommitTool.java	core/src/java/org/apache/lucene/index/TwoPhaseCommitTool.java
core	org.apache.lucene.index	FilterBinaryDocValues	IMPLEMENTED				core/src/java/org/apache/lucene/index/FilterBinaryDocValues.java
core	org.apache.lucene.index	MultiPostingsEnum	IMPLEMENTED				core/src/java/org/apache/lucene/index/MultiPostingsEnum.java
core	org.apache.lucene.index	VectorSimilarityFunction	IMPLEMENTED				core/src/java/org/apache/lucene/index/VectorSimilarityFunction.java
core	org.apache.lucene.index	VectorValuesConsumer	MISSING				core/src/java/org/apache/lucene/index/VectorValuesConsumer.java
core	org.apache.lucene.index	DocumentsWriterPerThread	IMPLEMENTED				core/src/java/org/apache/lucene/index/DocumentsWriterPerThread.java
core	org.apache.lucene.index	SegmentDocValues	MISSING				core/src/java/org/apache/lucene/index/SegmentDocValues.java
core	org.apache.lucene.index	MultiTermsEnum	IMPLEMENTED	TestMultiTermsEnum	MISSING	core/src/test/org/apache/lucene/index/TestMultiTermsEnum.java	core/src/java/org/apache/lucene/index/MultiTermsEnum.java
core	org.apache.lucene.index	MergeState	IMPLEMENTED				core/src/java/org/apache/lucene/index/MergeState.java
core	org.apache.lucene.index	LeafReaderContext	IMPLEMENTED				core/src/java/org/apache/lucene/index/LeafReaderContext.java
core	org.apache.lucene.index	FreqProxTermsWriterPerField	MISSING				core/src/java/org/apache/lucene/index/FreqProxTermsWriterPerField.java
core	org.apache.lucene.index	FieldUpdatesBuffer	MISSING	TestFieldUpdatesBuffer	MISSING	core/src/test/org/apache/lucene/index/TestFieldUpdatesBuffer.java	core/src/java/org/apache/lucene/index/FieldUpdatesBuffer.java
core	org.apache.lucene.index	StoredFieldDataInput	IMPLEMENTED				core/src/java/org/apache/lucene/index/StoredFieldDataInput.java
core	org.apache.lucene.index	ParallelCompositeReader	IMPLEMENTED	TestParallelCompositeReader	MISSING	core/src/test/org/apache/lucene/index/TestParallelCompositeReader.java	core/src/java/org/apache/lucene/index/ParallelCompositeReader.java
core	org.apache.lucene.index	TieredMergePolicy	IMPLEMENTED	TestTieredMergePolicy	MISSING	core/src/test/org/apache/lucene/index/TestTieredMergePolicy.java	core/src/java/org/apache/lucene/index/TieredMergePolicy.java
core	org.apache.lucene.index	MergeTrigger	IMPLEMENTED				core/src/java/org/apache/lucene/index/MergeTrigger.java
core	org.apache.lucene.index	EmptyDocValuesProducer	IMPLEMENTED				core/src/java/org/apache/lucene/index/EmptyDocValuesProducer.java
core	org.apache.lucene.index	DocValuesType	IMPLEMENTED				core/src/java/org/apache/lucene/index/DocValuesType.java
core	org.apache.lucene.index	LeafMetaData	IMPLEMENTED				core/src/java/org/apache/lucene/index/LeafMetaData.java
