module	kind	java_path	package	classname	fqdn	java_loc	go_basename_guess	go_match_path	status	go_loc	go_stub_score
core	prod	core/src/java/org/apache/lucene/search/similarities/LMJelinekMercerSimilarity.java	org.apache.lucene.search.similarities	LMJelinekMercerSimilarity	org.apache.lucene.search.similarities.LMJelinekMercerSimilarity	119	lm_jelinek_mercer_similarity	search/lm_jelinek_mercer_similarity.go	IMPLEMENTED	209	0
core	prod	core/src/java/org/apache/lucene/search/similarities/BasicModelG.java	org.apache.lucene.search.similarities	BasicModelG	org.apache.lucene.search.similarities.BasicModelG	79	basic_model_g		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AxiomaticF2EXP.java	org.apache.lucene.search.similarities	AxiomaticF2EXP	org.apache.lucene.search.similarities.AxiomaticF2EXP	119	axiomatic_f2_exp		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/IndependenceChiSquared.java	org.apache.lucene.search.similarities	IndependenceChiSquared	org.apache.lucene.search.similarities.IndependenceChiSquared	41	independence_chi_squared		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AfterEffectB.java	org.apache.lucene.search.similarities	AfterEffectB	org.apache.lucene.search.similarities.AfterEffectB	55	after_effect_b		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/BM25Similarity.java	org.apache.lucene.search.similarities	BM25Similarity	org.apache.lucene.search.similarities.BM25Similarity	330	bm25_similarity	search/bm25_similarity.go	IMPLEMENTED	211	0
core	prod	core/src/java/org/apache/lucene/search/similarities/NormalizationH2.java	org.apache.lucene.search.similarities	NormalizationH2	org.apache.lucene.search.similarities.NormalizationH2	87	normalization_h2	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/LambdaDF.java	org.apache.lucene.search.similarities	LambdaDF	org.apache.lucene.search.similarities.LambdaDF	54	lambda_df		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/BasicModelIn.java	org.apache.lucene.search.similarities	BasicModelIn	org.apache.lucene.search.similarities.BasicModelIn	61	basic_model_in		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/PerFieldSimilarityWrapper.java	org.apache.lucene.search.similarities	PerFieldSimilarityWrapper	org.apache.lucene.search.similarities.PerFieldSimilarityWrapper	49	per_field_similarity_wrapper	search/per_field_similarity.go	IMPLEMENTED	53	0
core	prod	core/src/java/org/apache/lucene/search/similarities/AfterEffect.java	org.apache.lucene.search.similarities	AfterEffect	org.apache.lucene.search.similarities.AfterEffect	50	after_effect	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Lambda.java	org.apache.lucene.search.similarities	Lambda	org.apache.lucene.search.similarities.Lambda	45	lambda	search/ib_lambda.go	IMPLEMENTED	81	0
core	prod	core/src/java/org/apache/lucene/search/similarities/IndriDirichletSimilarity.java	org.apache.lucene.search.similarities	IndriDirichletSimilarity	org.apache.lucene.search.similarities.IndriDirichletSimilarity	120	indri_dirichlet_similarity		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/ClassicSimilarity.java	org.apache.lucene.search.similarities	ClassicSimilarity	org.apache.lucene.search.similarities.ClassicSimilarity	77	classic_similarity	search/classic_similarity.go	IMPLEMENTED	123	0
core	prod	core/src/java/org/apache/lucene/search/similarities/NormalizationH3.java	org.apache.lucene.search.similarities	NormalizationH3	org.apache.lucene.search.similarities.NormalizationH3	84	normalization_h3		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Axiomatic.java	org.apache.lucene.search.similarities	Axiomatic	org.apache.lucene.search.similarities.Axiomatic	229	axiomatic		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/IndependenceStandardized.java	org.apache.lucene.search.similarities	IndependenceStandardized	org.apache.lucene.search.similarities.IndependenceStandardized	41	independence_standardized		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/DistributionSPL.java	org.apache.lucene.search.similarities	DistributionSPL	org.apache.lucene.search.similarities.DistributionSPL	65	distribution_spl		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Distribution.java	org.apache.lucene.search.similarities	Distribution	org.apache.lucene.search.similarities.Distribution	46	distribution		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/DFRSimilarity.java	org.apache.lucene.search.similarities	DFRSimilarity	org.apache.lucene.search.similarities.DFRSimilarity	182	dfr_similarity	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/NormalizationH1.java	org.apache.lucene.search.similarities	NormalizationH1	org.apache.lucene.search.similarities.NormalizationH1	86	normalization_h1	search/dfr_similarity.go	IMPLEMENTED	414	0
core	prod	core/src/java/org/apache/lucene/search/similarities/BasicModelIF.java	org.apache.lucene.search.similarities	BasicModelIF	org.apache.lucene.search.similarities.BasicModelIF	63	basic_model_if		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/Independence.java	org.apache.lucene.search.similarities	Independence	org.apache.lucene.search.similarities.Independence	43	independence		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/similarities/DFISimilarity.java	org.apache.lucene.search.similarities	DFISimilarity	org.apache.lucene.search.similarities.DFISimilarity	130	dfi_similarity		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/LeafFieldComparator.java	org.apache.lucene.search	LeafFieldComparator	org.apache.lucene.search.LeafFieldComparator	114	leaf_field_comparator	search/leaf_field_comparator.go	IMPLEMENTED	39	0
core	prod	core/src/java/org/apache/lucene/search/HnswQueueSaturationCollector.java	org.apache.lucene.search	HnswQueueSaturationCollector	org.apache.lucene.search.HnswQueueSaturationCollector	113	hnsw_queue_saturation_collector	search/hnsw_queue_saturation_collector.go	IMPLEMENTED	61	0
core	prod	core/src/java/org/apache/lucene/search/LongValues.java	org.apache.lucene.search	LongValues	org.apache.lucene.search.LongValues	34	long_values	search/long_values.go	IMPLEMENTED	19	0
core	prod	core/src/java/org/apache/lucene/search/FilterLeafCollector.java	org.apache.lucene.search	FilterLeafCollector	org.apache.lucene.search.FilterLeafCollector	59	filter_leaf_collector	search/search_sprint53_overflow.go	IMPLEMENTED	107	0
core	prod	core/src/java/org/apache/lucene/search/IndriDisjunctionScorer.java	org.apache.lucene.search	IndriDisjunctionScorer	org.apache.lucene.search.IndriDisjunctionScorer	76	indri_disjunction_scorer	search/indri_disjunction_scorer.go	IMPLEMENTED	20	0
core	prod	core/src/java/org/apache/lucene/search/MultiLeafFieldComparator.java	org.apache.lucene.search	MultiLeafFieldComparator	org.apache.lucene.search.MultiLeafFieldComparator	106	multi_leaf_field_comparator		MISSING	0	0
core	prod	core/src/java/org/apache/lucene/search/ScorerSupplier.java	org.apache.lucene.search	ScorerSupplier	org.apache.lucene.search.ScorerSupplier	65	scorer_supplier	search/scorer_supplier.go	IMPLEMENTED	39	0
